1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),39
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,1-Sep-01,"Sunrise, Bandai Visual",Bones,Original,1 hr. 55 min.,R - 17+ (violence & profanity),518
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,"Apr 1, 1998 to Sep 30, 1998",Victor Entertainment,Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,201
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,"Jul 2, 2002 to Dec 24, 2002","TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,1467
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,"Sep 30, 2004 to Sep 29, 2005","TV Tokyo, Dentsu",Toei Animation,Manga,23 min. per ep.,PG - Children,4369
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,"Apr 6, 2005 to Mar 19, 2008","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1003
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,"Apr 15, 2005 to Sep 27, 2005","Genco, Fuji TV, Shueisha",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,687
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52,"Sep 11, 2002 to Sep 10, 2003",Unknown,Nippon Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3612
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,"Apr 17, 2004 to Feb 18, 2006","OB Planning, Studio Jack",A.C.G.T.,Manga,27 min. per ep.,PG-13 - Teens 13 or older,1233
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,24 min. per ep.,R+ - Mild Nudity,169
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,"Oct 3, 2002 to Feb 8, 2007","TV Tokyo, Aniplex, Shueisha",Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,8
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Unknown,"Oct 20, 1999 to ?","Fuji TV, TAP, Shueisha",Toei Animation,Manga,24 min.,PG-13 - Teens 13 or older,31
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,"Oct 10, 2001 to Mar 23, 2005","Production I.G, Nihon Ad Systems",Trans Arts,Manga,22 min. per ep.,PG-13 - Teens 13 or older,1039
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12,"Oct 6, 2004 to Dec 15, 2004",Unknown,Toei Animation,Manga,25 min. per ep.,PG - Children,7333
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,"Oct 5, 2004 to Mar 29, 2005","TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,514
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,"Oct 6, 2004 to Mar 30, 2005","GDH, Pony Canyon, CBC",Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1284
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,"Apr 17, 2003 to Sep 25, 2003","Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,Original,23 min. per ep.,R+ - Mild Nudity,823
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,"Apr 29, 2005 to Oct 28, 2005",Unknown,Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),936
28,Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,"Oct 12, 2004 to Mar 14, 2006","TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1666
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,"Oct 8, 2004 to Apr 1, 2005","Marvelous, TBS",Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3985
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,"Oct 4, 1995 to Mar 27, 1996","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,54
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,15-Mar-97,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 44 min.,R - 17+ (violence & profanity),833
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,19-Jul-97,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 27 min.,R+ - Mild Nudity,195
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,"Oct 8, 1997 to Apr 1, 1998","VAP, Hakusensha, Nippon Television Network",OLM,Manga,25 min. per ep.,R+ - Mild Nudity,301
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,18-Nov-95,"Bandai Visual, Kodansha",Production I.G,Manga,1 hr. 22 min.,R+ - Mild Nudity,265
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,"Feb 20, 1999 to Sep 22, 1999",Aniplex,Studio Deen,Manga,30 min. per ep.,R - 17+ (violence & profanity),637
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,"Jan 10, 1996 to Sep 8, 1998","Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",Manga,25 min. per ep.,PG-13 - Teens 13 or older,345
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,20-Dec-97,"Fuji TV, Sony Music Entertainment",Gallop,Manga,1 hr. 31 min.,R - 17+ (violence & profanity),2411
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,16-Jul-88,"Mainichi Broadcasting System, Kodansha, Toho",Tokyo Movie Shinsha,Manga,2 hr. 4 min.,R+ - Mild Nudity,197
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,"Apr 4, 2002 to Sep 26, 2002","Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,940
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,"Feb 21, 1993 to May 17, 1994","Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,Manga,30 min. per ep.,PG-13 - Teens 13 or older,2360
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,"Jan 7, 2005 to Jul 8, 2005","Bandai Visual, TBS, Imagine",AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1083
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,"May 25, 2000 to Aug 25, 2000","Bandai Visual, AIC, Lantis, Audio Tanaka",Hal Film Maker,Manga,30 min. per ep.,R+ - Mild Nudity,2419
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,"Apr 1, 2001 to Sep 23, 2001",TV Tokyo Music,Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2232
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,"Apr 11, 2002 to Sep 26, 2002","Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1465
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,17-Apr-04,"Mainichi Broadcasting System, Toho, TYO Animations, TYO",Digital Frontier,Manga,1 hr. 45 min.,R - 17+ (violence & profanity),1901
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,"Apr 5, 1999 to Sep 11, 1999","Sony Pictures Entertainment, Aniplex",Bee Train,Game,22 min. per ep.,R - 17+ (violence & profanity),4259
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,"Oct 2, 2003 to Dec 25, 2003",Production I.G,"Bee Train, Xebec",Original,24 min. per ep.,R - 17+ (violence & profanity),4073
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,"Oct 7, 2004 to Mar 31, 2005","Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,Manga,25 min. per ep.,R - 17+ (violence & profanity),570
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,"Oct 8, 1999 to Mar 31, 2000","Youmex, Toshiba EMI",AIC,Original,23 min. per ep.,R+ - Mild Nudity,1886
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,"Apr 3, 2002 to Sep 25, 2002","TBS, Pioneer LDC",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,332
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,"Nov 25, 2003 to Jun 10, 2004","Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),742
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,"Apr 3, 2003 to Sep 25, 2003",Kadokawa Shoten,Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,891
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,"Jul 5, 2003 to Dec 27, 2003","Lantis, King Records","feel., Zexcs",Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,1852
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,"Jul 11, 2004 to Sep 26, 2004","Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,Manga,23 min. per ep.,R+ - Mild Nudity,1146
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,"Oct 8, 2004 to Dec 24, 2004","Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,846
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,"Oct 21, 2005 to Jan 27, 2006","Mellow Head, TBS",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1479
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,"Apr 9, 2002 to Oct 1, 2002","Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,554
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,"Apr 13, 2005 to Sep 21, 2005","GDH, Kodansha, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),940
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,"Oct 7, 2005 to Mar 31, 2006","GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,622
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,"Oct 5, 2005 to Mar 29, 2006","Bandai Visual, Imagine",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,5061
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,"Jan 8, 2002 to Jun 18, 2002",Kadokawa Shoten,Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),322
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,"Aug 26, 2003 to Oct 18, 2003","Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,571
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,"Jul 14, 2005 to Oct 20, 2005","Kadokawa Shoten, Happinet Pictures",Kyoto Animation,Light novel,24 min. per ep.,R - 17+ (violence & profanity),639
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,"Oct 30, 2004 to May 14, 2005","Aniplex, Sogo Vision",Group TAC,Manga,25 min. per ep.,G - All Ages,1640
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,"Jul 5, 2004 to Dec 27, 2004","TV Tokyo Music, King Records",Xebec,Original,24 min. per ep.,PG-13 - Teens 13 or older,2523
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,"Oct 3, 2004 to Dec 26, 2004","Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,1550
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,"Oct 2, 2005 to Dec 25, 2005","Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,2075
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,"Jul 8, 2005 to Jan 6, 2006","Xebec, Lantis, Memory-Tech",Asread,Visual novel,23 min. per ep.,R+ - Mild Nudity,600
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,"Apr 7, 1979 to Jan 26, 1980","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,1427
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,"Jan 25, 1996 to Jul 25, 1999",Atelier Musa,Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,1948
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,"Mar 25, 1989 to Aug 25, 1989",Bandai Visual,Sunrise,Original,27 min. per ep.,PG-13 - Teens 13 or older,2444
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,1-Aug-98,"Sotsu, Atelier Musa",Sunrise,Original,52 min.,PG-13 - Teens 13 or older,4660
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,"May 23, 1991 to Sep 24, 1992",Bandai Visual,Sunrise,Original,30 min. per ep.,PG-13 - Teens 13 or older,2791
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,"Mar 2, 1985 to Feb 22, 1986","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2159
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,"Mar 1, 1986 to Jan 31, 1987","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2941
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,12-Mar-88,"Sotsu, Nozomi Entertainment, Atelier Musa","Sunrise, Studio Hibari",Novel,1 hr. 59 min.,PG-13 - Teens 13 or older,2773
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,16-Mar-91,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",Sunrise,Unknown,2 hr.,PG-13 - Teens 13 or older,3387
