1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",3,26,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,5,24 min. per ep.,2,39
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",2,1,1-Sep-01,"Sunrise, Bandai Visual",Bones,5,1 hr. 55 min.,2,518
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",3,26,"Apr 1, 1998 to Sep 30, 1998",Victor Entertainment,Madhouse,4,24 min. per ep.,5,201
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",3,26,"Jul 2, 2002 to Dec 24, 2002","TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,5,25 min. per ep.,5,1467
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",3,52,"Sep 30, 2004 to Sep 29, 2005","TV Tokyo, Dentsu",Toei Animation,4,23 min. per ep.,4,4369
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",3,145,"Apr 6, 2005 to Mar 19, 2008","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,4,23 min. per ep.,5,1003
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",3,24,"Apr 15, 2005 to Sep 27, 2005","Genco, Fuji TV, Shueisha",J.C.Staff,4,23 min. per ep.,5,687
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",3,52,"Sep 11, 2002 to Sep 10, 2003",Unknown,Nippon Animation,4,23 min. per ep.,5,3612
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",3,24,"Apr 17, 2004 to Feb 18, 2006","OB Planning, Studio Jack",A.C.G.T.,4,27 min. per ep.,5,1233
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",3,74,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,4,24 min. per ep.,3,169
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",3,220,"Oct 3, 2002 to Feb 8, 2007","TV Tokyo, Aniplex, Shueisha",Studio Pierrot,4,23 min. per ep.,5,8
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",3,Unknown,"Oct 20, 1999 to ?","Fuji TV, TAP, Shueisha",Toei Animation,4,24 min.,5,31
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",3,178,"Oct 10, 2001 to Mar 23, 2005","Production I.G, Nihon Ad Systems",Trans Arts,4,22 min. per ep.,5,1039
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",3,12,"Oct 6, 2004 to Dec 15, 2004",Unknown,Toei Animation,4,25 min. per ep.,4,7333
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",3,26,"Oct 5, 2004 to Mar 29, 2005","TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,4,23 min. per ep.,5,514
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",3,24,"Oct 6, 2004 to Mar 30, 2005","GDH, Pony Canyon, CBC",Gonzo,4,24 min. per ep.,2,1284
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",3,22,"Apr 17, 2003 to Sep 25, 2003","Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,5,23 min. per ep.,3,823
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",3,24,"Apr 29, 2005 to Oct 28, 2005",Unknown,Gonzo,8,24 min. per ep.,2,936
28,Yakitate!! Japan,7.95,"Comedy, Shounen",3,69,"Oct 12, 2004 to Mar 14, 2006","TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,4,24 min. per ep.,5,1666
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",3,26,"Oct 8, 2004 to Apr 1, 2005","Marvelous, TBS",Studio Deen,4,24 min. per ep.,5,3985
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",3,26,"Oct 4, 1995 to Mar 27, 1996","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",5,24 min. per ep.,5,54
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",2,1,15-Mar-97,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",5,1 hr. 44 min.,2,833
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",2,1,19-Jul-97,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",5,1 hr. 27 min.,3,195
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",3,25,"Oct 8, 1997 to Apr 1, 1998","VAP, Hakusensha, Nippon Television Network",OLM,4,25 min. per ep.,3,301
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",2,1,18-Nov-95,"Bandai Visual, Kodansha",Production I.G,4,1 hr. 22 min.,3,265
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",0,4,"Feb 20, 1999 to Sep 22, 1999",Aniplex,Studio Deen,4,30 min. per ep.,2,637
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",3,94,"Jan 10, 1996 to Sep 8, 1998","Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",4,25 min. per ep.,5,345
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",2,1,20-Dec-97,"Fuji TV, Sony Music Entertainment",Gallop,4,1 hr. 31 min.,2,2411
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",2,1,16-Jul-88,"Mainichi Broadcasting System, Kodansha, Toho",Tokyo Movie Shinsha,4,2 hr. 4 min.,3,197
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",3,26,"Apr 4, 2002 to Sep 26, 2002","Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,5,24 min. per ep.,5,940
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",0,5,"Feb 21, 1993 to May 17, 1994","Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,4,30 min. per ep.,5,2360
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",3,24,"Jan 7, 2005 to Jul 8, 2005","Bandai Visual, TBS, Imagine",AIC,4,24 min. per ep.,5,1083
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",0,3,"May 25, 2000 to Aug 25, 2000","Bandai Visual, AIC, Lantis, Audio Tanaka",Hal Film Maker,4,30 min. per ep.,3,2419
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",3,26,"Apr 1, 2001 to Sep 23, 2001",TV Tokyo Music,Bones,4,24 min. per ep.,5,2232
